,x_emb,y_emb,name,house,good_bad,degree,main,id
0,-0.2351549726609356,0.034174973281348484,Regulus Arcturus Black,s,good,4,0,0
1,-0.5476952964261524,0.4510493270733335,Sirius Black,g,good,12,0,1
2,-0.09751095843646684,-0.10976843501963346,Lavender Brown,g,bad,1,0,2
3,-0.10748340457912355,0.07960459626348183,Cho Chang,r,good,1,0,3
4,-0.23474476875934938,-0.27027551306554415,Vincent Crabbe,s,bad,3,0,4
5,-0.058020812338752246,0.06490360684209243,"Bartemius ""Barty"" Crouch Sr.",n,good,2,0,5
6,-0.3388791237995969,-0.348069098523578,"Bartemius ""Barty"" Crouch Jr.",s,bad,9,0,6
7,-0.03389852695593975,0.03867645915768883,Fleur Delacour,n,good,1,0,7
8,-0.10748340457912355,0.07960459626348183,Cedric Diggory,h,good,1,0,8
9,-1.0738343478656294,1.1577168414060082,Albus Dumbledore,g,good,18,1,9
10,-0.10132712884760753,-0.11341875164975267,Dudley Dursley,m,bad,2,0,10
11,-0.3059103576205158,-0.35134764595587065,Petunia Dursley,m,bad,4,0,11
12,-0.27153078657333185,-0.3177186006197451,Vernon Dursley,m,bad,3,0,12
13,-0.5059377338447593,-0.36457550802206246,Argus Filch,n,bad,10,0,13
14,-0.1825902688287599,-0.21382128730906497,Cornelius Fudge,n,bad,3,0,14
15,-0.23474476875934938,-0.27027551306554415,Gregory Goyle,s,bad,3,0,15
16,-1.1390543090944698,1.1773459775997885,Hermione Granger,g,good,19,1,16
17,-0.15946949366472377,0.12416981568989852,Rubeus Hagrid,g,good,3,0,17
18,-0.10748340457912355,0.07960459626348183,Igor Karkaroff,n,good,1,0,18
19,-0.3959787066012291,-0.4148330401992399,Bellatrix Lestrange,s,bad,11,0,19
20,-0.10748340457912355,0.07960459626348183,Frank Longbottom,g,good,1,0,20
21,-0.14224574782566463,0.12303342600855566,Neville Longbottom,g,good,2,0,21
22,-0.18770493693804266,0.1639691979834747,Remus Lupin,g,good,2,0,22
23,-0.4060691998529854,-0.46580565718262423,Draco Malfoy,s,bad,7,0,23
24,-0.22501554532893728,-0.251062678384134,Lucius Malfoy,s,bad,7,0,24
25,-0.04688652056293615,-0.0420530410699111,Narcissa Malfoy,s,bad,1,0,25
26,-0.48243076412172775,0.4145098030265538,Minerva McGonagall,g,good,6,0,26
27,-0.30199802766637546,0.25656460279010235,"Alastor ""Mad-Eye"" Moody",n,good,5,0,27
28,-0.9370914159881323,-0.9048714639055914,Peter Pettigrew,g,bad,19,1,28
29,-1.0241626292544435,1.0923284519162824,Harry Potter,g,good,22,1,29
30,-0.5791647218359329,0.5306583580483795,James Potter,g,good,7,0,30
31,-0.40159792472585804,0.36069587081137294,Lily Potter,g,good,5,0,31
32,-1.0561445391820437,-0.8073634126563539,Quirinus Quirrell,r,bad,11,0,32
33,-0.3890632444948914,0.2012813415978374,Tom Riddle Sr.,m,good,5,0,33
34,-0.10748340457912355,0.07960459626348183,Mary Riddle,m,good,1,0,34
35,-1.2555453982309488,-0.8538169574204256,Lord Voldemort,s,bad,37,1,35
36,-0.45113389627792927,-0.5274988651047837,Rita Skeeter,n,bad,5,0,36
37,-0.29086373589055936,0.1496079548780988,Severus Snape,s,good,4,0,37
38,-0.14138193153506332,0.11828105542117068,Nymphadora Tonks,h,good,2,0,38
39,-1.0239632077811829,-1.171822413542585,Dolores Janes Umbridge,n,bad,12,0,39
40,-0.0348938881012537,0.04334289694852121,Arthur Weasley,g,good,2,0,40
41,-0.10748340457912355,0.07960459626348183,Bill Weasley,g,good,1,0,41
42,-0.10748340457912355,0.07960459626348183,Charlie Weasley,g,good,1,0,42
43,-0.23101672018005198,0.19795995662491908,Fred Weasley,g,good,3,0,43
44,-0.23101672018005198,0.19795995662491908,George Weasley,g,good,3,0,44
45,-0.18770493693804266,0.1639691979834747,Ginny Weasley,g,good,2,0,45
46,-0.16064482472017577,0.14168858202965928,Molly Weasley,g,good,3,0,46
47,-0.5789060463916943,0.6292262252534185,Ron Weasley,g,good,14,0,47
48,-0.14108518352864546,0.16759680127742868,Dobby,n,good,5,0,48
49,-0.28430314624636877,-0.3289406627611229,Fluffy,n,bad,4,0,49
50,-0.28430314624636877,-0.3289406627611229,Aragog,n,bad,4,0,50
